description,img,title,url,series,price,autor,pub_house
,http://img1.labirint.ru/books/360903/big.jpg,Детям,http://www.labirint.ru/books/360903,,310,Толстой Лев Николаевич,Эксмо
,http://img1.labirint.ru/books/498266/big.jpg,Были,http://www.labirint.ru/books/498266,,489,Толстой Лев Николаевич,Речь
,http://img1.labirint.ru/books/348334/big.jpg,Pushkin's Fairy Tales,http://www.labirint.ru/books/348334,,938,Pushkin Alexander,Яркий Город
,http://img1.labirint.ru/books/348334/big.jpg,Pushkin's Fairy Tales,http://www.labirint.ru/books/348334,,938,Pushkin Alexander,Яркий Город
,http://img1.labirint.ru/books/462905/big.jpg,Русские сказки от Пушкина до Куприна,http://www.labirint.ru/books/462905,,603,Пушкин Александр Сергеевич,ОлмаМедиаГрупп
,http://img1.labirint.ru/books/500288/big.jpg,Мой талисман. Избранная лирика и биография А. Пушкина,http://www.labirint.ru/books/500288,,1 104,Пушкин Александр Сергеевич,ИЦ Москвоведение
,http://img1.labirint.ru/books/462905/big.jpg,Русские сказки от Пушкина до Куприна,http://www.labirint.ru/books/462905,,603,Пушкин Александр Сергеевич,ОлмаМедиаГрупп
,http://img1.labirint.ru/books/348333/big.jpg,Сказки А.С. Пушкина,http://www.labirint.ru/books/348333,,938,Пушкин Александр Сергеевич,Яркий Город
,http://img1.labirint.ru/books/500288/big.jpg,Мой талисман. Избранная лирика и биография А. Пушкина,http://www.labirint.ru/books/500288,,1 104,Пушкин Александр Сергеевич,ИЦ Москвоведение
,http://img1.labirint.ru/books/348333/big.jpg,Сказки А.С. Пушкина,http://www.labirint.ru/books/348333,,938,Пушкин Александр Сергеевич,Яркий Город
,http://img1.labirint.ru/books/454703/big.jpg,Александр Пушкин,http://www.labirint.ru/books/454703,,1 673,Скатов Николай Николаевич,Молодая гвардия
,http://img1.labirint.ru/books/468648/big.jpg,Александр Пушкин и его дядя Василий,http://www.labirint.ru/books/468648,,52,Михайлова Наталья Ивановна,Детская литература
,http://img1.labirint.ru/books/498008/big.jpg,Александр Сергеевич Пушкин. Биография писателя,http://www.labirint.ru/books/498008,,123,Лотман Юрий Михайлович,Азбука
,http://img1.labirint.ru/books/498008/big.jpg,Александр Сергеевич Пушкин. Биография писателя,http://www.labirint.ru/books/498008,,123,Лотман Юрий Михайлович,Азбука
,http://img1.labirint.ru/books/494276/big.jpg,Большая маленькая девочка. История 10. Пушкин и компания,http://www.labirint.ru/books/494276,,275,Бершадская Мария,ИД КомпасГид
,http://img1.labirint.ru/books/494276/big.jpg,Большая маленькая девочка. История 10. Пушкин и компания,http://www.labirint.ru/books/494276,,275,Бершадская Мария,ИД КомпасГид
,http://img1.labirint.ru/books/500832/big.jpg,А.С. Пушкин. Сказки,http://www.labirint.ru/books/500832,,449,Пушкин Александр Сергеевич,Планета
,http://img1.labirint.ru/books/500832/big.jpg,А.С. Пушкин. Сказки,http://www.labirint.ru/books/500832,,449,Пушкин Александр Сергеевич,Планета
,http://img1.labirint.ru/books/258788/big.jpg,Сказки Пушкина,http://www.labirint.ru/books/258788,,352,Пушкин Александр Сергеевич,ОлмаМедиаГрупп
,http://img1.labirint.ru/books/408293/big.jpg,Как Пушкин русский язык изменил,http://www.labirint.ru/books/408293,,81,Улыбышева Марина Алексеевна,Настя и Никита
,http://img1.labirint.ru/books/258788/big.jpg,Сказки Пушкина,http://www.labirint.ru/books/258788,,352,Пушкин Александр Сергеевич,ОлмаМедиаГрупп
,http://img1.labirint.ru/books/264089/big.jpg,Война и мир: в 4 томах. Том 1,http://www.labirint.ru/books/264089,,664,Толстой Лев Николаевич,Детская литература
,http://img1.labirint.ru/books/386482/big.jpg,Владимир Даль Как Пушкин русский язык изменил,http://www.labirint.ru/books/386482,,"100,81",Ткаченко Александр Борисович Улыбышева Марина Алексеевна,Фома
,http://img1.labirint.ru/books/264089/big.jpg,Война и мир: в 4 томах. Том 1,http://www.labirint.ru/books/264089,,664,Толстой Лев Николаевич,Детская литература
,http://img1.labirint.ru/books/518616/big.jpg,Три медведя,http://www.labirint.ru/books/518616,,234,Толстой Лев Николаевич,Нигма
,http://img1.labirint.ru/books/515189/big.jpg,Три медведя Три медведя,http://www.labirint.ru/books/515189,,"126,234",Толстой Лев Николаевич Толстой Лев Николаевич,Речь
,http://img1.labirint.ru/books/515189/big.jpg,Три медведя,http://www.labirint.ru/books/515189,,126,Толстой Лев Николаевич,Речь
,http://img1.labirint.ru/books/423124/big.jpg,Война и мир. Комплект из 2-х книг,http://www.labirint.ru/books/423124,,254,Толстой Лев Николаевич,Азбука
,http://img1.labirint.ru/books/328121/big.jpg,Лев и мышь,http://www.labirint.ru/books/328121,,15,Толстой Лев Николаевич,Адонис
,http://img1.labirint.ru/books/328122/big.jpg,Лиса и гуси Лев и мышь,http://www.labirint.ru/books/328122,,"16,15",Ушинский Константин Дмитриевич Толстой Лев Николаевич,Адонис
,http://img1.labirint.ru/books/426243/big.jpg,Лев Толстой - публицист и общественный деятель,http://www.labirint.ru/books/426243,,590,Петровицкая Ирина В.,Икар
,http://img1.labirint.ru/books/426243/big.jpg,Лев Толстой - публицист и общественный деятель,http://www.labirint.ru/books/426243,,590,Петровицкая Ирина В.,Икар
,http://img1.labirint.ru/books/330530/big.jpg,Библиотека мировой новеллы: Лев Николаевич Толстой,http://www.labirint.ru/books/330530,,155,Толстой Лев Николаевич,Звонница-МГ
,http://img1.labirint.ru/books/256404/big.jpg,Лев и собачка. Рассказы и сказки русских писателей о животных,http://www.labirint.ru/books/256404,,123,Толстой Лев Николаевич,Русич
,http://img1.labirint.ru/books/256404/big.jpg,Лев и собачка. Рассказы и сказки русских писателей о животных,http://www.labirint.ru/books/256404,,123,Толстой Лев Николаевич,Русич
,http://img1.labirint.ru/books/313345/big.jpg,Лев Толстой и жена. Смешной старик со страшными мыслями,http://www.labirint.ru/books/313345,,190,Шляхов Андрей Левонович,АСТ
,http://img1.labirint.ru/books/313345/big.jpg,Лев Толстой и жена. Смешной старик со страшными мыслями,http://www.labirint.ru/books/313345,,190,Шляхов Андрей Левонович,АСТ
,http://img1.labirint.ru/books/403728/big.jpg,Толстой Л.Н. Русские классики на театральной сцене (3CDmp3),http://www.labirint.ru/books/403728,,427,Толстой Лев Николаевич,Ардис
,http://img1.labirint.ru/books/408805/big.jpg,Путешествие вглубь романа. Лев Толстой: Анна Каренина,http://www.labirint.ru/books/408805,,278,Леннквист Барбара,Языки славянских культур
